"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 09 18:49:37 UTC 2025","Tue Dec 09 18:49:37 UTC 2025","112","Regression Testing","Regression Testing","com.gecom.AuthenticationTests.Login","com.gecom.AuthenticationTests.Login","testAdminLoginValidCredentials","TC-AUTH-007: Verify admin login with valid credentials",""
"passed","Tue Dec 09 18:49:44 UTC 2025","Tue Dec 09 18:49:44 UTC 2025","49","Regression Testing","Regression Testing","com.gecom.CartTests.AddToCart","com.gecom.CartTests.AddToCart","testAddToCartFailsWithInvalidQuantity","TC-CART-003: Verify add to cart fails with invalid quantity",""
"passed","Tue Dec 09 18:49:52 UTC 2025","Tue Dec 09 18:49:52 UTC 2025","43","Regression Testing","Regression Testing","com.gecom.NotificationsTest.GetNotifications","com.gecom.NotificationsTest.GetNotifications","testEmptyNotificationsReturnsEmptyArray","TC-NOTIF-003: Verify empty notifications returns empty array",""
"passed","Tue Dec 09 18:49:52 UTC 2025","Tue Dec 09 18:49:52 UTC 2025","49","Regression Testing","Regression Testing","com.gecom.CouponsTest.CreateCoupons","com.gecom.CouponsTest.CreateCoupons","testCreateCouponFailsWithoutAdmin","TC-COUP-004: Verify create coupon fails without admin",""
"passed","Tue Dec 09 18:49:48 UTC 2025","Tue Dec 09 18:49:48 UTC 2025","58","Regression Testing","Regression Testing","com.gecom.ReviewsTest.CreateReviews","com.gecom.ReviewsTest.CreateReviews","testUserCannotReviewSameProductTwice","TC-REV-003: Verify user cannot review same product twice",""
"passed","Tue Dec 09 18:49:42 UTC 2025","Tue Dec 09 18:49:42 UTC 2025","91","Regression Testing","Regression Testing","com.gecom.ProductsTest.GetProducts","com.gecom.ProductsTest.GetProducts","testGetProductById","TC-PROD-011: Verify get product by ID",""
"passed","Tue Dec 09 18:49:44 UTC 2025","Tue Dec 09 18:49:44 UTC 2025","106","Regression Testing","Regression Testing","com.gecom.CartTests.GetCart","com.gecom.CartTests.GetCart","testUserCannotAccessAnotherUsersCart","TC-CART-012: Verify user cannot access another user's cart",""
"passed","Tue Dec 09 18:49:52 UTC 2025","Tue Dec 09 18:49:52 UTC 2025","45","Regression Testing","Regression Testing","com.gecom.CouponsTest.CreateCoupons","com.gecom.CouponsTest.CreateCoupons","testCreateCouponFailsWithMissingData","TC-COUP-005: Verify create coupon fails with missing coupon data",""
"passed","Tue Dec 09 18:49:52 UTC 2025","Tue Dec 09 18:49:52 UTC 2025","42","Regression Testing","Regression Testing","com.gecom.CouponsTest.ValidateCoupons","com.gecom.CouponsTest.ValidateCoupons","testValidateInvalidCouponCode","TC-COUP-008: Verify validate invalid coupon code",""
"passed","Tue Dec 09 18:49:50 UTC 2025","Tue Dec 09 18:49:50 UTC 2025","47","Regression Testing","Regression Testing","com.gecom.HelpcenterTest.GetHelpArticles","com.gecom.HelpcenterTest.GetHelpArticles","testGetHelpCategories","TC-HELP-006: Verify get help categories",""
"passed","Tue Dec 09 18:49:41 UTC 2025","Tue Dec 09 18:49:41 UTC 2025","79","Regression Testing","Regression Testing","com.gecom.ProductsTest.UpdateProducts","com.gecom.ProductsTest.UpdateProducts","testAdminCanUpdateProduct","TC-PROD-009: Verify admin can update product",""
"passed","Tue Dec 09 18:49:51 UTC 2025","Tue Dec 09 18:49:51 UTC 2025","45","Regression Testing","Regression Testing","com.gecom.ContactTest.CreateContactMessage","com.gecom.ContactTest.CreateContactMessage","testSubmitContactFailsWithMissingFields","TC-CONT-002: Verify submit contact fails with missing required fields",""
"passed","Tue Dec 09 18:49:47 UTC 2025","Tue Dec 09 18:49:47 UTC 2025","50","Regression Testing","Regression Testing","com.gecom.OrdersTest.GetOrders","com.gecom.OrdersTest.GetOrders","testExportOrdersFailsForNonAdminUser","TC-ORDER-020: Verify export orders fails for non-admin user",""
"passed","Tue Dec 09 18:49:51 UTC 2025","Tue Dec 09 18:49:51 UTC 2025","77","Regression Testing","Regression Testing","com.gecom.WishlistTest.GetWishlists","com.gecom.WishlistTest.GetWishlists","testUserCanViewTheirWishlist","TC-WISH-004: Verify user can view their wishlist",""
"passed","Tue Dec 09 18:49:40 UTC 2025","Tue Dec 09 18:49:40 UTC 2025","91","Regression Testing","Regression Testing","com.gecom.CategoriesTests.GetCategory","com.gecom.CategoriesTests.GetCategory","testUserCanViewAllCategories","TC-CAT-003: Verify user can view all categories",""
"passed","Tue Dec 09 18:49:50 UTC 2025","Tue Dec 09 18:49:50 UTC 2025","56","Regression Testing","Regression Testing","com.gecom.HelpcenterTest.GetHelpArticles","com.gecom.HelpcenterTest.GetHelpArticles","testGetSpecificHelpArticle","TC-HELP-007: Verify get specific help article from previous tests",""
"passed","Tue Dec 09 18:49:50 UTC 2025","Tue Dec 09 18:49:50 UTC 2025","80","Regression Testing","Regression Testing","com.gecom.HelpcenterTest.CreateHelpArticles","com.gecom.HelpcenterTest.CreateHelpArticles","testAdminCanCreateHelpArticle","TC-HELP-001: Verify admin can create help article",""
"passed","Tue Dec 09 18:49:42 UTC 2025","Tue Dec 09 18:49:42 UTC 2025","55","Regression Testing","Regression Testing","com.gecom.ProductsTest.GetProducts","com.gecom.ProductsTest.GetProducts","testGetProductFailsForNonExistentId","TC-PROD-012: Verify get product fails for non-existent ID",""
